	Osram930	Osram930_INT
	W/m2 -nm	
383	7.24887E-5	0.00907295
384	7.08464E-5	0.0091438
385	7.36282E-5	0.00921743
386	7.78077E-5	0.00929524
387	8.20113E-5	0.00937725
388	8.41939E-5	0.00946144
389	9.25041E-5	0.00955394
390	1.09904E-4	0.00966385
391	1.2603E-4	0.00978988
392	1.25056E-4	0.00991493
393	1.10697E-4	0.0100256
394	1.08959E-4	0.0101346
395	1.29751E-4	0.0102643
396	1.44283E-4	0.0104086
397	1.46268E-4	0.0105549
398	1.71019E-4	0.0107259
399	2.17594E-4	0.0109435
400	2.69348E-4	0.0112129
401	2.79505E-4	0.0114924
402	2.9923E-4	0.0117916
403	4.22467E-4	0.0122141
404	0.00177624	0.0139903
405	0.00304064	0.0170309
406	0.00242995	0.0194609
407	0.00111798	0.0205789
408	5.67694E-4	0.0211466
409	5.59063E-4	0.0217056
410	4.63984E-4	0.0221696
411	4.12223E-4	0.0225818
412	4.38957E-4	0.0230208
413	4.54431E-4	0.0234752
414	4.66986E-4	0.0239422
415	4.82371E-4	0.0244246
416	5.02763E-4	0.0249273
417	5.14839E-4	0.0254422
418	5.24043E-4	0.0259662
419	5.22684E-4	0.0264889
420	5.25735E-4	0.0270146
421	5.42345E-4	0.027557
422	5.50195E-4	0.0281072
423	5.45143E-4	0.0286523
424	5.35867E-4	0.0291882
425	5.32492E-4	0.0297207
426	5.54476E-4	0.0302752
427	5.68603E-4	0.0308438
428	5.76331E-4	0.0314201
429	5.68893E-4	0.031989
430	5.47071E-4	0.0325361
431	5.40168E-4	0.0330762
432	5.94921E-4	0.0336712
433	6.84723E-4	0.0343559
434	8.14597E-4	0.0351705
435	0.00546862	0.0406391
436	0.0118898	0.0525289
437	0.0124744	0.0650033
438	0.00617631	0.0711796
439	8.59453E-4	0.072039
440	7.97008E-4	0.072836
441	8.01556E-4	0.0736376
442	8.20011E-4	0.0744576
443	6.54727E-4	0.0751123
444	7.07155E-4	0.0758195
445	9.29014E-4	0.0767485
446	9.47391E-4	0.0776959
447	9.65536E-4	0.0786614
448	0.00100191	0.0796633
449	0.00105271	0.0807161
450	0.00107788	0.0817939
451	0.0011215	0.0829154
452	0.00114375	0.0840592
453	0.00114369	0.0852029
454	0.00116142	0.0863643
